item,image,gold,prompt,output,destination,route,obstacles,notes
022,chairs/IMG_Cl_Obstacle_Pot,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: a potted plant on the floor directly ahead, about 1.5 m away. Route: step around the plant on either side, forward to the table, chair on the right.",I want to sit down. Guide me to a vacant seat.,The chair is to your left and to the right of the table. Walk to the right and sit on the chair. You will find that it is empty.,,,,
023,campus/classroom_chairs_wet,"One black chair at the right end of the white table, vacant, about 4 m ahead-right. Obstacle: a yellow wet-floor caution sign ahead-right about 2 m away with wet paper beside it. Route: keep to the left of the sign, go forward to the table, the chair is at its right end.","Please direct me to the nearest available chair, and warn me about anything in the way.","Move to the right slightly, then face forward. The chair is directly in front and to the right of you. Steer clear of the Wet Floor sign which is on the floor in front.",,,,
024,chairs/IMG_Cl_Obstacle_Box,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: an open cardboard box on the floor ahead-right, about 1.5 m away. Route: keep left of the box, walk forward to the table, then the chair on the right.",I want to sit down. Guide me to a vacant seat.,Walk towards the rectangular table. There's a white chair in front of it. The seat will be on the right side of the table when you arrive. Avoid stepping on the cardboard box on the checkered floor in front of the table.,,,,
025,chairs/IMG_Cl_Obstacle_ClAndBag,"Two white chairs. The near chair, front left, has a backpack on it (occupied). The vacant chair is at the right side of the table, about 3 m ahead-right. Obstacles: the near occupied chair and backpack on the left. Route: walk forward keeping right of the near chair, to the chair by the table.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat you can take. It is a white chair located to the right of the light-colored table. The chair is unoccupied and has no personal items on it. It is positioned on the right side of the table, facing the wall. The chair is positioned in front of a small whiteboard on the left wall and is in front of the table. It is also in front of a small whiteboard on the left wall, but that's not relevant. The white chair is in front of the table and is the one that's empty and available for you to sit on. So you can just walk to it and sit on it. It is clear that there is a way to get to it. I can't get you closer to the table and the chair or to the wall. It's just a white chair that is in front of a table that is behind a white board on the left wall. So yes, you can get to it. It's just in front of the table in front of the white board on the left wall. So just go to the right of the table and it's there.",,,,
026,chairs/IMG_Cl_Obstacle_TableAndPot,"One white chair behind the square table at the right, vacant, about 3.5 m ahead-right. Obstacle: a low round side table with a potted plant on it, ahead-right about 1.5 m away, knee height. Route: keep left of the low table, walk forward past the square table, the chair is at its right.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is a vacant seat. To get to it, you should face the wall and walk a little further towards the right of the image.

The seat is a white chair behind a small light wood table. It is located on a black and white tiled floor and is free of any personal items.",,,,
027,campus/classroom_chairs_wet2,"One black chair at the right end of the white table, vacant, about 4 m ahead-right. Obstacles: a yellow wet-floor caution sign ahead-left about 2 m away and wet paper on the floor to its right. Route: pass between or to the right of the sign and paper with care, continue to the chair at the right end of the table.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat you can take. It is a black chair next to a white table in the middle of the room.

Here is how to get to it:
- Face the back of the white table, which is the wall on the right.
- Go straight forward.
- The chair is on your left when facing the wall.",,,,
028,chairs/IMG_Cl_Obstacle_Ball,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: a ball on the floor ahead, slightly left of centre, about 1.5 m away. Route: step right of the ball, walk forward to the table, the chair is on its right.",I want to sit down. Guide me to a vacant seat.,"The ball is now between you and the seat. Follow these steps to reach your seat:

1. Cross your arms over and above your head. Extend both arms forward and forward slightly.
2. Slowly walk straight forward from your position and your arms should block your path and the ball.
3. Continue advancing and turn your head to your right and walk sideways to your right using your right hand to guide you, while your left arm remains overhead.
4. As you turn your head to your right, your hands will form a ""C"" and-friendly way to turn and guide you through.

Reach the door and turn right from the doorway. The seat is on your right side and looks clear of access.",,,,
029,campus/classroom_chairs_wet,"One black chair at the right end of the white table, vacant, about 4 m ahead-right. Obstacle: a yellow wet-floor caution sign ahead-right about 2 m away with wet paper beside it. Route: keep to the left of the sign, go forward to the table, the chair is at its right end.","Please direct me to the nearest available chair, and warn me about anything in the way.","Move towards the black chair that's near the table. There's a wet floor warning sign in front of the chair, but you can bypass it by walking around it.",,,,
030,chairs/IMG_Cl_Obstacle_Tissue,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: loose tissues or paper on the floor ahead-left, about 1 m away, slippery. Route: keep right of the paper, walk forward to the table, the chair is on its right.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat you can take.

To get to it:
- Face the table and the white chair next to it.
- Move forward a bit, then to the right.
- The chair is in front of the table, and both are clearly visible and unoccupied.

You should be in front of the table and on the right side of the chair. The seat is clear.",,,,
031,chairs/IMG_Cl_Obstacle_ClAndBag,"Two white chairs. The near chair, front left, has a backpack on it (occupied). The vacant chair is at the right side of the table, about 3 m ahead-right. Obstacles: the near occupied chair and backpack on the left. Route: walk forward keeping right of the near chair, to the chair by the table.",I want to sit down. Guide me to a vacant seat.,"Of course. The seat you're looking for is the one that is white and unoccupied. It's located to the right of the small wooden table.

Here is the way to get there:
1.  Face the table, which is in the middle of the room.
2.  Walk to the right side of the table and towards the white chair there.
3.  The chair is unoccupied and empty, so you can sit down there.

There is no personal item on the chair. So, once you get to the right side of the table, stand there and rest your back on the chair. You’re all set!",,,,
032,chairs/IMG_Cl_Obstacle_Box,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: an open cardboard box on the floor ahead-right, about 1.5 m away. Route: keep left of the box, walk forward to the table, then the chair on the right.",I want to sit down. Guide me to a vacant seat.,"The chair is a white, modern-style chair positioned to the right of the yellow table. It is unoccupied and available for you. To get there, you are standing in front of the table, which is on the left side of the image, and the white chair is to the right of the table.

The path is clear and direct. Follow this path: face the table, then turn to the right and you'll see the white chair. The white chair is directly where you should go.",,,,
033,chairs/IMG_Cl_Obstacle_Box2,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: two stacked cardboard boxes on the floor ahead-right, about 1.5 m away. Route: keep left of the boxes, walk forward to the table, then the chair on the right.",I want to sit down. Guide me to a vacant seat.,Go to the table and sit on the white chair.,,,,
034,campus/classroom_chairs_box,"One black chair at the right end of the white table, vacant, about 4 m ahead and to the right. Obstacle: an open cardboard box on the floor directly ahead, about 2 m away. Route: bear left or right around the box, then continue to the chair at the right end of the table.",I want to sit down. Guide me to a vacant seat.,Go forward and then turn left. The black chair in front of the table looks like it can be a vacant seat. Avoid the box and the objects nearby.,,,,
035,chairs/IMG_Cl_Obstacle_Pot,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: a potted plant on the floor directly ahead, about 1.5 m away. Route: step around the plant on either side, forward to the table, chair on the right.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat. To get to it, you should face the right side of the image. There is a white chair that is not attached to a table or any other furniture. It is positioned to the right of a wooden table and is directly opposite a wall covered with a white board. This seat is located just beyond the edge of the wooden table on the right-hand side of the scene. It is a single, simple white chair that is not cluttered with any objects. You should move forward and the seat will be to your right.",,,,
036,chairs/IMG_Cl_Obstacle_ClAndBag,"Two white chairs. The near chair, front left, has a backpack on it (occupied). The vacant chair is at the right side of the table, about 3 m ahead-right. Obstacles: the near occupied chair and backpack on the left. Route: walk forward keeping right of the near chair, to the chair by the table.",I want to sit down. Guide me to a vacant seat.,"Walk towards the table and choose a vacant chair nearby. There are two chairs available, and you should pick one that's closest to where you are.",,,,
037,campus/classroom_chairs_bag,"Two black chairs. The near chair, front right, has a backpack on it (occupied). The vacant chair is the far one at the right end of the white table, about 4 m ahead and slightly right. Obstacles: the near occupied chair with the backpack, and loose sheets of paper on the floor beside it. Route: walk forward keeping left of the near chair, then step right to the chair at the table.",I want to sit down. Guide me to a vacant seat.,Turn around and walk towards the empty chair located to your right. The seat will be approximately 5 feet away from the blackboard.,,,,
038,chairs/IMG_Cl_Obstacle_TableAndPot,"One white chair behind the square table at the right, vacant, about 3.5 m ahead-right. Obstacle: a low round side table with a potted plant on it, ahead-right about 1.5 m away, knee height. Route: keep left of the low table, walk forward past the square table, the chair is at its right.",I want to sit down. Guide me to a vacant seat.,Sit down on the white chair at the end of the table.,,,,
039,chairs/IMG_Cl_Obstacle_Ball,"One white chair at the right side of the square table, vacant, about 3 m ahead-right. Obstacle: a ball on the floor ahead, slightly left of centre, about 1.5 m away. Route: step right of the ball, walk forward to the table, the chair is on its right.",Is there an empty seat I can take? Tell me how to get to it.,"Yes, there is an empty seat. To get to it, you should walk forward a bit. The seat is located near a table that is on the right side of the image and is on the right of the small football on the floor. It is a white chair with metal legs and is unoccupied. The seat is just a bit off the right side of a small table. It is also off the table and a little off to the right of it. The seat is located in front of the table and towards the right of the image.",,,,
040,campus/classroom_chairs_bag,"Two black chairs. The near chair, front right, has a backpack on it (occupied). The vacant chair is the far one at the right end of the white table, about 4 m ahead and slightly right. Obstacles: the near occupied chair with the backpack, and loose sheets of paper on the floor beside it. Route: walk forward keeping left of the near chair, then step right to the chair at the table.",I want to sit down. Guide me to a vacant seat.,"Of course. There is a vacant seat in the room that you can reach.

Here is how to get there:
- You are standing on the grey floor in front of a small white table.
- To the right of the table, there is a black chair with wheels.
- As you face the table, you will pass by a small white paper on the floor in front of this chair.
- Once you've passed the table, you will see the black chair that's unoccupied.
- There is also a white table to the right of the black chair.

Once you walk forward a few steps, you will reach the chair. This is the seat that is vacant.",,,,
